aar,Afar
abk,Abkhazian
afr,Afrikaans languages
ara,Arabic
bas,Basa
ben,Bengali
bul,Bulgarian
bur,Burmese
cai,Central American Indian (Other)
cat,Catalan
cau,Caucasian (Other)
chi,Chinese (simplified)
cze,Czech
dak,Dakota
dan,Danish
dut,Dutch
eng,English
est,Estonian
fil,Filipino
fin,Finnish
fre,French
geo,Georgian
ger,German
gle,Irish
gmh,German
got,Gothic
grc,Greek
guj,Gujarati
hat,Haitian
haw,Hawaiian
heb,Hebrew
hin,Hindi
hun,Hungarian
ice,Icelandic
nd,Indonesian
ine,Indo-European (Other)
ita,Italian
jav,Javanese
jpn,Japanese
kan,Kannada
kaz,Kazakh
kor,Korean
kur,Kurdish
lat,Latin
lav,Latvian
lol,Mongo
mal,Malayalam
mar,Marathi
mga,Irish
mus,Creek
myn,Mayan languages
nai,North American Indian
nav,Navajo
nep,Nepali
nor,Norwegian
ota,Turkish
per,Persian
phi,Philippine (Other)
pol,Polish
por,Portuguese
rus,Russian
san,Sanskrit
scc,Serbian
sga,Irish
sgn,Sign Languages
slo,Slovak
slv,Slovenian
spa,Spanish
swe,Swedish
tam,Tamil
tel,Telugu
tur,Turkish
ukr,Ukrainian
urd,Urdu
uzb,Uzbek
vie,Vietnamese
zul,Zulu
pob,Portuguese (BR)
zht,Chinese (traditional)
zhe,Chinese bilingual
pom,Portuguese (MZ)
